Organization Name,Facility  Name,Tipo,Direccion,Fuente,longitud,latitud
,Instituto Nacional de Migración,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3080792,25.6360119
,"Instituto Estatal de la Juventud Nuevo León
","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3038912,25.6786643
,"Instituto de la Juventud y el Deporte de Juarez Nuevo León
","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.154479,25.6163717
,"SIPINNA (Sistema Nacional de Protección de Niñas, Niños y Adolescentes)
","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3395478,25.6654179
,"Procuraduría de Protección de Niñas, Niños y Adolescentes del Estado
","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.2522502,25.6695949
,Puerta Violeta Guadalupe,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.1914857,25.6657311
,Puerta Violeta Apodaca,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.2389916,25.8177721
,Instituto Municipal de las Mujeres Regias,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3052975,25.6971746
,Puerta Violeta Monterrey,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3087913,25.6798662
,Puerta Violeta,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3699391,25.7650323
,Puerta Violeta Escobedo,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3172381,25.7989161
,Alternativas Pacíficas,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.308939,25.6797767
,Puerta Violeta San Pedro Garza García,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.4179382,25.665369
,Instituto Estatal de las Mujeres,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3105169,25.6731669
,Casa Monarca,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3616622,25.6792034
,ACNUR - Agencia de la ONU para los Refugiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3110976,25.670937
,Centro Estatal de Rehabilitacion y Educacion Especial,Salud,no disponible,OIM Directorio Virtual Servicios,-100.2883825,25.6237777
,Centro de Atención Primaria de Adicciones y Salud Mental,Salud,no disponible,OIM Directorio Virtual Servicios,-100.2320852,25.6750302
,Centro de Especialidades Dentales,Salud,no disponible,OIM Directorio Virtual Servicios,-100.3083612,25.6610255
,Hospital Metropolitano,Salud,no disponible,OIM Directorio Virtual Servicios,-100.274372,25.7140788
,Hospital Regional de Alta Especialidad Materno Infantil,Salud,no disponible,OIM Directorio Virtual Servicios,-100.2233881,25.694406
,Centro Comunitario Tierra Propia,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.1897837,25.6415598
,Centro Comunitario Unidad Piloto,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.2153987,25.6441056
,Centro Comunitario Las Sabinas,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.1935054,25.6895023
,Centro Comunitario Valle Soleado,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.1696035,25.7041128
,Centro Comunitario Prados de Santa Rosa,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.2258708,25.7998199
,Centro Comunitario Santa Fe,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.1736235,25.7262723
,Centro Comunitario La Alianza,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.4151684,25.7757693
,Centro Comunitario La Alianza Sector Q,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.4059793,25.7767341
,Centro Comunitario Ren√© √Ålvarez,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3584783,25.765365
,Centro Comunitario Adelaila Lafón,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3775592,25.790745
,Centro Comunitario Revolución Proletaria,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.2888554,25.6335501
,Centro Comunitario Sierra Ventana,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.2882067,25.6280602
,Centro Comunitario Bicentenario de la Independencia,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3144455,25.6514787
,Centro Comunitario San Bernab√©,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3699391,25.7650323
,Centro Comunitario Alianza Real,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3849892,25.8448524
,Centro Comunitario Eulalio Villarreal,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3704713,25.805286
,Centro Comunitario Fernando Amilpa,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.270301,25.8060127
,Centro Comunitario Los Encinos,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.117581,25.6437424
,centro comunitario Hector Caballero,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.1295307,25.6348761
,Centro Comunitario Arboledas De Los Naranjos,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.1677079,25.6285945
,Centro Comunitario Monte Kristal,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.14598,25.6189072
,Centro Comunitario Ampliación Nogales,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.6047516,25.7989446
,Centro Comunitario Las Palmas,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.4258034,25.7929356
,Centro Comunitario Pesquería,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.0465786,25.7901541
,Centro Comunitario Valle de la Esperanza,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.4015695,25.7834605
,Casa del Caminante Jtatic Samuel Ruiz García,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-91.9925432,17.5430906
,Comisión Estatal de Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9828884,17.508738
,Defensor Municipal de Derechos Humanos ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9811457,17.5096209
,Dirección de Atención a Personas Migrantes y Refugiadas (DAPMyR),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9812396,17.5086181
,Palacio Municipal de Palenque,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9809937,17.509586
,Oficina de Regulación Migratoria (INM),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9934671,17.5183738
,Grupo Beta (INM),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9934228,17.5185836
,Estación Migratoria (INM),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9929122,17.5184334
,COMAR Comisión Mexicana de Ayuda a Refugiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9931882,17.5183533
,"Procuraduría Municipal de Protección a Niñas, Niños y Adolescentes ","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-91.9794565,17.5067803
,DIF Casa Migrante Palenque,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-92.0012967,17.5123635
,ACNUR - Agencia de la ONU para los Refugiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9915815,17.512142
,Cruz Roja¬†,Salud,no disponible,OIM Directorio Virtual Servicios,-91.9986564,17.5138951
,Hospital General Palenque,Salud,no disponible,OIM Directorio Virtual Servicios,-91.9884396,17.5077443
,Jurisdicción Sanitaria de Palenque,Salud,no disponible,OIM Directorio Virtual Servicios,-91.9878227,17.5080842
,Asylum Access,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9828296,17.5065118
,RET international,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.9786535,17.5081203
,Restaurante El Lago,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-91.9856621,17.494445
,Gimnasio Comunitario,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-91.99016,17.5423212
,Unidad Deportiva Municipal,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-91.9786857,17.5139501
,Fiscalía especializada en delitos cometidos en contra de migrantes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-91.981007,17.5077952
,Adulam,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-87.0601269,20.6674031
,DIF Municipal Playa del Carmen,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-87.0778789,20.6297323
,Coordinación de Atención al Migrante,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-87.0611094,20.653606
,Instituto Nacional de Migracion,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-87.0778399,20.6207545
,Registro Civil Playa Del Carmen,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-87.0850017,20.6514625
,Comisión Estatal de Derechos Humanos¬†,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-87.0686406,20.6603581
,Procuraduría Auxiliar de la Defensa del Trabajo,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-87.0713272,20.6375541
,Instituto Quintanarooense de La Mujer,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-87.0751269,20.628561
,IEEA Instituto Estatal para la Educación de Jóvenes y Adultos,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-87.0680963,20.6380034
,Servicio Estatal de Empleo y Capacitación para el Trabajo,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-87.0713093,20.6377292
,Instituto de capacitación para el trabajo del estado de Quintana Roo (ICAT),Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-87.0894196,20.635339
,Hospital General de Playa del Carmen,Salud,no disponible,OIM Directorio Virtual Servicios,-87.0953548,20.6445382
,Central de autobuses¬†,Transporte,no disponible,OIM Directorio Virtual Servicios,-87.0752223,20.6227966
,Terminal de autobuses alterna,Transporte,no disponible,OIM Directorio Virtual Servicios,-87.0743765,20.6294407
,Mercado Municipal Colosio,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-87.0641457,20.6473971
,Centro Cultural,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-87.0828043,20.6527096
,"Procuraduría de la Defensa de las Niñas, Niños,Adolescentes y la Familia DIF, Playa del Carmen","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-87.0608233,20.6668418
,Dirección General de Defensoría Pública,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.1898797,19.041314
,"Procuraduría de Protección de los Derechos de Nifias, Nifios y Adolescentes, Dirección de Asistencia Jurídica (DIF) ","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.2578132,19.0349434
,Comisión Ejecutiva de Atención a Víctimas ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.1993123,19.0427556
,Instituto Federal de Defensoria Pública (IFDP)¬†,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.2221039,19.0451311
,Comisión de Derechos Humanos Estatal ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.2025454,19.0441545
,Instituto Nacional de Migración (INM) ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.2133101,19.0516716
,Secretaría de Relaciones Exteriores ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.2270228,19.0336178
,Instituto Poblano de Asistencia ai Migrante,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.2270017,19.033257
,Cruz Roja Mexicana¬†,Salud,no disponible,OIM Directorio Virtual Servicios,-98.1879398,19.0481215
,Instituto Poblano de las Mujeres ,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-98.1987656,19.0404283
,"Asociación Nacional Contra la Trata Humana en la Sociedad, A.C. (ANTHUS) ","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-98.2086691,19.0473114
,Casa dei Migrante de la Parroquia de Nuestra Seriara de los Desamparados ,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-98.2100444,19.0719031
,Parroquia de la Asunción. Ayuda Humanitaria a Migrantes en Tránsito ,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-98.227902,19.0629519
,Instituto de Capacitación para el Trabajo ,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-98.2310177,19.0567343
,Secretaria de Educación Pública,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-98.222596,19.0627819
,Palacio Municipal de Puebla,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.1974074,19.0441433
,Museo Regional de Puebla,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.1828034,19.0562659
,Museo de la Talavera,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.1769569,19.0560987
,Casa de la Música de Viena ,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.2355087,19.0937378
,Barrio del Artista,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.1922388,19.0439306
,El Parian,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.1945514,19.0452636
,Mercado El Parral,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.2067566,19.0449047
,Mercado 5 de mayo,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.1975305,19.0525041
,Mercado Municipal La Acocota,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.1870369,19.0411612
,Mercado Melchor Ocampo EI Carmen,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-98.2009251,19.035319
,Parroquia María Auxiliadora,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.1883438,19.0767583
,Ventanilla de lnformación para personas en Contexto de Migración,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-98.2080447,19.0490829
,Central de Autobuses - CAPU,Transporte,no disponible,OIM Directorio Virtual Servicios,-98.2047069,19.0738714
,Aeropuerto de Puebla,Transporte,no disponible,OIM Directorio Virtual Servicios,-98.3761404,19.1639189
,"Albergue para Migrantes Toribio
Romo A. C.",Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-100.3972791,20.6380321
,Cáritas de Quer√©taro I.A.P.,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-100.3889313,20.5904461
,"Centro de Apoyo Marista al Migrante
(CAMMI)",Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-100.386469,20.6013896
,SRE - Delegación de la Secretaría de Relaciones Exteriores en Quer√©taro,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3719024,20.5954905
,Instituto Nacional de Migración,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3880188,20.5983311
,Oficina de Atención a Migrantes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3881737,20.5940392
,Dirección de Educación,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3700011,20.5626698
,"Módulo de Afiliación al Sistema de
Salud",Salud,no disponible,OIM Directorio Virtual Servicios,-100.4057431,20.5797837
,Cruz Roja,Salud,no disponible,OIM Directorio Virtual Servicios,-100.3639815,20.5801128
,"Centro de Justicia para las Mujeres
Secretaria de Seguridad Ciudadana","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3831627,20.5558465
,Instituto Municipal de la Mujer de Corregidora,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.4476047,20.552119
,Instituto Queretano de las Mujeres,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3870558,20.5981913
,"Secretaría de la Juventud¬†
","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.3819872,20.5927161
,Servicio Nacional del Empleo,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-100.3982308,20.5916636
,Procuraduría de la Defensa del Trabajo ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.4048949,20.5838181
,"Procuraduría Municipal de Protección de Niñas, Niños y Adolescentes de Corregidora","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.4328179,20.5463633
,Defensoría de los Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3896332,20.584255
,"Centro de Atención Integral para
Victimas de la Comisión Ejecutiva de
Atención a Victimas Federal","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3862261,20.5836153
,Instituto Municipal para Prevenir y Eliminar la Discriminación,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.3724775,20.5491589
,Mercado Municipal Lomas de Casa Blanca,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3922634,20.5712709
,Mercado Municipal Lázaro Cárdenas,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3815158,20.5571226
,"Mercado Benito Juárez ""El Tepetate""",Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3960696,20.6029818
,"Mercado Josefa Ortiz de Domínguez ""La Cruz""",Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3858361,20.5981222
,Central de Autobuses Quer√©taro,Transporte,no disponible,OIM Directorio Virtual Servicios,-100.3592591,20.5773249
,Aeropuerto Intercontinental de Quer√©taro,Transporte,no disponible,OIM Directorio Virtual Servicios,-100.1872709,20.6225114
,Centro Cultural Tejeda,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.418548,20.5455988
,Centro Cultural la Vieja Estación,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3968045,20.6012145
,Centro Educativo Cultural del Estado de Quer√©taro,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.3863449,20.5857754
,Casa de la Cultura,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.4232789,20.603359
,ACNUR -¬† Agencia de la ONU para los Refugiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.9825107,25.4565725
,Agencia Consular de la República de Honduras,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-101.0014976,25.4213533
,Casa del Migrante Saltillo,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-101.0237096,25.4033181
,Banco de Alimentos,Albergue y Alimentacion,no disponible,OIM Directorio Virtual Servicios,-100.9922903,25.4758533
,SEDU Secretaría de Educación,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-100.9793289,25.42787
,IEEA Instituto Estatal de Educación para Adultos,Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-100.9944866,25.4334186
,Instituto Estatal de Educación para Adultos (IEEA),Institucion publica / Educacion y Empleo,no disponible,OIM Directorio Virtual Servicios,-101.0072964,25.4256709
,Comisión de los Derechos Humanos del Estado,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.999747,25.4231857
,Instituto Estatal de Defensoría Pública de Coahuila (IFDP),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.9983899,25.4491721
,Dirección General de Delitos de Alto Impacto y Cometidos en Agravio de Migrantes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-101.0223257,25.4560592
,Subsecretaría de Protección Civil,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.8979227,25.4566779
,Dirección de Policia Preventiva Municipal,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.976748,25.415586
,Dirección para Promover la Igualdad y Prevenir la Discriminación,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-101.0107521,25.4229977
,INFONAVIT,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.9807132,25.4680929
,Instituto Nacional de Migración,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.993167,25.4355944
,Registro Civil,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-101.0021999,25.4290661
,Servicio de Administración Tributaria (SAT),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.98953,25.4477519
,Seguro Popular,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-101.004362,25.4237219
,Subdelegación IMSS,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.9886749,25.4545648
,Subsecretaría de Comunicaciones y Transportes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.8969277,25.4572288
,Unidad de Integración Familiar UNIF,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-100.9769772,25.4155819
,Instituto Estatal del Empleo,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,OIM Directorio Virtual Servicios,-101.0057915,25.4241131
,Instituto Municipal de la Mujer,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-101.0020306,25.4213483
,Centro de Justicia y Empoderamiento para la Mujer,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-101.0205461,25.4564291
,Hospital del Niño Dr. Federico Gómez Santos,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.9793482,25.4609669
,"Procuraduría para Niños, Niñas y la Familia","Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-101.0222893,25.4562444
,DIF Coahuila,"Mujer, Niñez y Juventud",no disponible,OIM Directorio Virtual Servicios,-100.9971113,25.4031949
,Biblioparque Norte Saltillo,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.9844169,25.4836089
,Biblioparque Nogales Saltillo,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.971007,25.3986476
,Biblioparque Saltillo Sur,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-101.0131475,25.3892892
,‚ÄúLa Madriguera‚Äù Casa del Adolescente,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.9666641,25.4168469
,Museo del Desierto,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-100.963865,25.413601
,Museo de Las Aves de M√©xico,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-101.0023345,25.4169221
,Museo del Sarape,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-101.0017382,25.4209264
,Teatro de la Ciudad Fernando Soler,Compras / Cultura y Recreacion,no disponible,OIM Directorio Virtual Servicios,-101.0000038,25.4336936
,Centro de Salud Nueva Jerusalen,Salud,no disponible,OIM Directorio Virtual Servicios,-101.029856,25.3933797
