,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 2.1,subtotal 12,presentados total,canalizados total,total
64,"Coyoacán, Ciudad de México",19.349885,-99.1623599,municipio,"Gustavo A. Madero, CDMX",0.0,0.0,0.0,0.0,26.0,26.0,0.0,58.0,58.0,0.0,119.0,119.0,0.0,16.0,16.0,0.0,104.0,104.0,0.0,160.0,160.0,0.0,112.0,112.0,0.0,106.0,106.0,0.0,139.0,139.0,0.0,89.0,89.0,0.0,66.0,66.0,0.0,995.0,995.0
65,"Gustavo A. Madero, Ciudad de México",19.4831686,-99.1137888,municipio,"Iztapalapa, CDMX",268.0,3.0,271.0,453.0,8.0,461.0,492.0,6.0,498.0,384.0,3.0,387.0,255.0,7.0,262.0,530.0,12.0,542.0,636.0,3.0,639.0,583.0,9.0,592.0,607.0,2.0,609.0,708.0,0.0,708.0,605.0,81.0,686.0,436.0,0.0,436.0,5957.0,134.0,6091.0
66,"Iztapalapa, Ciudad de México",19.3591195,-99.0929294,municipio,"Venustiano Carranza, CDMX",0.0,148.0,148.0,0.0,156.0,156.0,0.0,217.0,217.0,1.0,110.0,111.0,0.0,26.0,26.0,0.0,124.0,124.0,1.0,158.0,159.0,0.0,275.0,275.0,0.0,190.0,190.0,0.0,175.0,175.0,0.0,109.0,109.0,0.0,138.0,138.0,2.0,1826.0,1828.0
67,"Venustiano Carranza, Ciudad de México",19.4192787,-99.1135639,municipio,"Acuña, Coah.",154.0,1.0,155.0,434.0,5.0,439.0,343.0,11.0,354.0,400.0,37.0,437.0,160.0,70.0,230.0,19.0,1.0,20.0,12.0,3.0,15.0,19.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.0,131.0,1672.0
68,"Acuña, Coahuila",29.3248796,-100.9322287,municipio,"Monclova, Coah.",147.0,30.0,177.0,62.0,8.0,70.0,183.0,14.0,197.0,20.0,0.0,20.0,6.0,6.0,12.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,53.0,144.0,1.0,0.0,1.0,34.0,71.0,105.0,218.0,247.0,465.0,775.0,429.0,1204.0
69,"Allende, Coahuila",28.3420816,-100.8517302,municipio,"Piedras Negras, Coah.",2974.0,623.0,3597.0,903.0,444.0,1347.0,1446.0,324.0,1770.0,1514.0,177.0,1691.0,772.0,440.0,1212.0,872.0,658.0,1530.0,817.0,579.0,1396.0,681.0,538.0,1219.0,929.0,184.0,1113.0,1056.0,205.0,1261.0,943.0,545.0,1488.0,2914.0,992.0,3906.0,15821.0,5709.0,21530.0
70,"Francisco I. Madero, Coahuila",26.23755265,-103.09965556876554,municipio,"Saltillo, Coah.",154.0,21.0,175.0,97.0,85.0,182.0,75.0,21.0,96.0,19.0,16.0,35.0,10.0,4.0,14.0,3.0,25.0,28.0,2.0,0.0,2.0,1.0,16.0,17.0,1.0,5.0,6.0,0.0,0.0,0.0,18.0,29.0,47.0,112.0,211.0,323.0,492.0,433.0,925.0
71,"Guerrero, Coahuila",28.3093253,-100.3805564,municipio,"Torreón, Coah.",5.0,65.0,70.0,55.0,49.0,104.0,278.0,139.0,417.0,59.0,9.0,68.0,37.0,16.0,53.0,4.0,42.0,46.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,18.0,19.0,25.0,44.0,470.0,354.0,824.0
72,"Monclova, Coahuila",26.8999988,-101.4171173,municipio,"Colima, Col.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
73,"Nava, Coahuila",28.4217309,-100.7674167,municipio,"Manzanillo, Col.",1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,10.0
74,"Piedras Negras, Coahuila",28.7041725,-100.5148362,municipio,"Villa de Álvarez, Col.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
75,"Saltillo, Coahuila",25.4230425,-100.9927509,municipio,"Durango, Dgo.",18.0,7.0,25.0,0.0,9.0,9.0,0.0,4.0,4.0,36.0,21.0,57.0,24.0,11.0,35.0,23.0,10.0,33.0,56.0,14.0,70.0,181.0,0.0,181.0,33.0,4.0,37.0,103.0,3.0,106.0,17.0,0.0,17.0,0.0,0.0,0.0,491.0,83.0,574.0
76,"Torreón, Coahuila",25.542698,-103.410512,municipio,"Gómez Palacio, Dgo.",173.0,42.0,215.0,127.0,37.0,164.0,147.0,14.0,161.0,29.0,18.0,47.0,4.0,0.0,4.0,0.0,10.0,10.0,12.0,3.0,15.0,50.0,1.0,51.0,17.0,0.0,17.0,52.0,0.0,52.0,54.0,0.0,54.0,59.0,0.0,59.0,724.0,125.0,849.0
77,"Colima, Colima",19.166667,-104.0,municipio,"Mapimí, Dgo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0
78,"Manzanillo, Colima",19.0506256,-104.3159957,municipio,"Acambay de Ruíz Castañeda, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
79,"Villa de Álvarez, Colima",19.2651417,-103.736013,municipio,"Apaxco, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,242.0,522.0,693.0,819.0,1512.0,154.0,247.0,401.0,23.0,16.0,39.0,1150.0,1324.0,2474.0
80,"Durango, Durango",24.833333,-104.833333,municipio,"Atlacomulco, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,51.0
81,"Gómez Palacio, Durango",25.5732473,-103.494779,municipio,"Chalco, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,40.0,74.0,71.0,229.0,300.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,271.0,411.0
82,"Mapimí, Durango",25.8337403,-103.8480216,municipio,"Cuautitlán, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
83,"Acambay de Ruíz Castañeda, México",19.95904705,-99.84802086293078,municipio,"Ecatepec de Morelos, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,123.0,10.0,133.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,21.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,154.0,31.0,185.0
84,"Amecameca, México",19.120025400000003,-98.70653181362624,municipio,"Huehuetoca, Méx.",0.0,0.0,0.0,0.0,15.0,15.0,40.0,4.0,44.0,15.0,2.0,17.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,18.0,28.0,20.0,11.0,31.0,2.0,0.0,2.0,0.0,0.0,0.0,72.0,135.0,207.0,0.0,0.0,0.0,164.0,185.0,349.0
85,"Apaxco, México",19.9807399,-99.15181011020428,municipio,"Ixtapaluca, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
86,"Atlacomulco, México",19.81591915,-99.86811932469178,municipio,"Naucalpan de Juárez, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
87,"Chalco, México",19.2382585,-98.81888376395176,municipio,"Nezahualcóyotl, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,22.0
88,"Cuautitlán, México",19.6531356,-99.2145002,municipio,"Ocoyoacac, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0
89,"Ecatepec de Morelos, México",19.6043981,-98.988231,municipio,"Tecámac, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
90,"Huehuetoca, México",19.833375,-99.2044638,municipio,"Tepotzotlán, Méx.",341.0,146.0,487.0,494.0,128.0,622.0,410.0,24.0,434.0,140.0,39.0,179.0,109.0,25.0,134.0,151.0,18.0,169.0,313.0,34.0,347.0,99.0,52.0,151.0,68.0,27.0,95.0,650.0,745.0,1395.0,453.0,468.0,921.0,0.0,0.0,0.0,3228.0,1706.0,4934.0
91,"Ixtapaluca, México",19.3129326,-98.8840481,municipio,"Texcoco, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,120.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,120.0,153.0
92,"Naucalpan de Juárez, México",19.4788356,-99.2327986,municipio,"Tlalnepantla de Baz, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,28.0,38.0,37.0,75.0
93,"Nezahualcóyotl, México",19.4079028,-99.0181547,municipio,"Toluca, Méx.",115.0,0.0,115.0,81.0,0.0,81.0,0.0,0.0,0.0,2.0,0.0,2.0,29.0,0.0,29.0,24.0,0.0,24.0,108.0,7.0,115.0,51.0,0.0,51.0,80.0,2.0,82.0,101.0,20.0,121.0,71.0,49.0,120.0,14.0,0.0,14.0,676.0,78.0,754.0
94,"Ocoyoacac, México",19.2587373,-99.41777785971426,municipio,"Xalatlaco, Méx.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
95,"Tecámac, México",19.7115011,-98.968354,municipio,"Zumpango, Méx.",0.0,13.0,13.0,0.0,9.0,9.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,22.0,22.0,0.0,22.0,22.0,2.0,22.0,24.0,0.0,13.0,13.0,0.0,11.0,11.0,2.0,153.0,155.0
96,"Tepotzotlán, México",19.7173392,-99.2230683,municipio,"Apaseo el Alto, Gto.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
97,"Texcoco, México",19.5144327,-98.8821254,municipio,"Apaseo el Grande, Gto.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
98,"Tlalnepantla de Baz, México",19.54649025,-99.1899352247449,municipio,"Celaya, Gto.",1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0
99,"Toluca, México",19.292545,-99.6569007,municipio,"Comonfort, Gto.",5.0,0.0,5.0,6.0,0.0,6.0,17.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0
100,"Xalatlaco, México",19.1843821,-99.4145622,municipio,"Irapuato, Gto.",5.0,0.0,5.0,22.0,0.0,22.0,6.0,0.0,6.0,4.0,0.0,4.0,1.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0
101,"Zumpango, México",19.81293675,-99.08180953352704,municipio,"León, Gto.",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
102,"Apaseo el Alto, Guanajuato",20.4562767,-100.621263,municipio,"Ocampo, Gto.",5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
103,"Apaseo el Grande, Guanajuato",20.59193265,-100.59798678636592,municipio,"Salamanca, Gto.",0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
104,"Celaya, Guanajuato",20.521788,-100.8140458,municipio,"San Luis de la Paz, Gto.",6.0,0.0,6.0,30.0,0.0,30.0,21.0,0.0,21.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0
105,"Comonfort, Guanajuato",20.7199475,-100.761188,municipio,"San Miguel de Allende, Gto.",2.0,0.0,2.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,16.0
106,"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",21.1043597,-100.7259581,municipio,"Acapulco de Juárez, Gro.",1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,17.0,4.0,0.0,4.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,32.0
107,"Irapuato, Guanajuato",20.6758761,-101.3521052,municipio,"Azoyú, Gro.",0.0,0.0,0.0,74.0,29.0,103.0,278.0,62.0,340.0,146.0,20.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.0,50.0,114.0,23.0,137.0,99.0,68.0,167.0,42.0,18.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,228.0,1023.0
108,"León, Guanajuato",21.1218598,-101.6825081,municipio,"Chilpancingo de los Bravo, Gro.",1.0,0.0,1.0,19.0,5.0,24.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,30.0
109,"Ocampo, Guanajuato",21.6042823,-101.47623930019084,municipio,"San Marcos, Gro.",94.0,19.0,113.0,169.0,30.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,8.0,29.0,37.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,276.0,103.0,379.0
110,"Salamanca, Guanajuato",20.571358,-101.192444,municipio,"Zihuatanejo de Azueta, Gro.",1.0,0.0,1.0,8.0,2.0,10.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,14.0
111,"San Luis de la Paz, Guanajuato",21.2970466,-100.516269,municipio,"Actopan, Hgo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
112,"San Miguel de Allende, Guanajuato",20.9142238,-100.743784,municipio,"Alfajayucan, Hgo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
113,"Acapulco de Juárez, Guerrero",16.8680495,-99.8940182,municipio,"Apan, Hgo.",0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0
114,"Azoyú, Guerrero",16.730833,-98.600833,municipio,"Atitalaquia, Hgo.",0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
115,"Chilpancingo de los Bravo, Guerrero",17.5542149,-99.5048416,municipio,"Chapulhuacán, Hgo.",0.0,0.0,0.0,3.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,18.0
116,"San Marcos, Guerrero",16.85734375,-99.39034185147702,municipio,"Emiliano Zapata, Hgo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
117,"Zihuatanejo de Azueta, Guerrero",17.80789995,-101.49695243500553,municipio,"Epazoyucan, Hgo.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
118,"Actopan, Hidalgo",20.2687373,-98.9431476,municipio,"Huasca de Ocampo, Hgo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
119,"Alfajayucan, Hidalgo",20.410277,-99.40315343558592,municipio,"Ixmiquilpan, Hgo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
120,"Apan, Hidalgo",19.7098559,-98.4502318,municipio,"Mineral de la Reforma, Hgo.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,22.0,0.0,22.0
121,"Atitalaquia, Hidalgo",20.0597395,-99.21328819731298,municipio,"Pachuca de Soto, Hgo.",1.0,1.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,19.0,1.0,20.0,0.0,3.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,32.0,10.0,42.0
122,"Chapulhuacán, Hidalgo",21.1263192,-98.95211915598163,municipio,"Tepeapulco, Hgo.",16.0,0.0,16.0,13.0,3.0,16.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,35.0
123,"Emiliano Zapata, Hidalgo",19.6546865,-98.544552,municipio,"Tepeji del Río de Ocampo, Hgo.",102.0,0.0,102.0,58.0,46.0,104.0,48.0,30.0,78.0,72.0,23.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,343.0,52.0,8.0,60.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,107.0,788.0
124,"Epazoyucan, Hidalgo",20.0181268,-98.6364294,municipio,"Tizayuca, Hgo.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,15.0,0.0,15.0
125,"Huasca de Ocampo, Hidalgo",20.2231549,-98.5552467331717,municipio,"Tula de Allende, Hgo.",3.0,0.0,3.0,26.0,21.0,47.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,21.0,76.0
126,"Ixmiquilpan, Hidalgo",20.481944,-99.218056,municipio,"Tulancingo de Bravo, Hgo.",0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,6.0,19.0,0.0,19.0
127,"Mineral de la Reforma, Hidalgo",20.06063885,-98.73057242363193,municipio,"Villa de Tezontepec, Hgo.",8.0,0.0,8.0,3.0,0.0,3.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0
128,"Pachuca de Soto, Hidalgo",20.1165413,-98.7413535,municipio,"El Salto, Jal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
129,"Tepeapulco, Hidalgo",19.7875962,-98.5522855,municipio,"Guadalajara, Jal.",214.0,0.0,214.0,327.0,0.0,327.0,257.0,0.0,257.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,123.0,0.0,123.0,381.0,0.0,381.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,1.0,1313.0,0.0,1313.0
